prc_energy_h_1,prc_energy_h_2,prc_energy_h_3,ridge_energy_h_1,ridge_energy_h_2,ridge_energy_h_3,lasso_energy_h_1,lasso_energy_h_2,lasso_energy_h_3,xgb_energy_h_1,xgb_energy_h_2,xgb_energy_h_3,cb_ridge_lasso_energy_h_1,cb_ridge_lasso_energy_h_2,cb_ridge_lasso_energy_h_3,cb_ridge_pcr_energy_h_1,cb_ridge_pcr_energy_h_2,cb_ridge_pcr_energy_h_3,cb_ridge_prc_lasso_energy_h_1,cb_ridge_prc_lasso_energy_h_2,cb_ridge_prc_lasso_energy_h_3,ar_1_energy_h_1,ar_1_energy_h_2,ar_1_energy_h_3,xgb_pca_energy_h_1,xgb_pca_energy_h_2,xgb_pca_energy_h_3
2.507077822934408,1.9211596043246992,2.1624767518331582,2.4112362028449823,1.346869149178544,0.815187808189884,2.4359345858112116,1.4745052839405837,1.0123309706785564,2.522345,2.4298007,2.3350954,2.423585394328097,1.410687216559564,0.9137593894342202,2.4112362028449823,1.346869149178544,0.815187808189884,2.4514162038635336,1.5808446791479422,1.3299985102338665,2.1644360030965535,1.09524810249876,0.4424809766975756,2.7155995,2.7862384,3.1816967
2.6951476741132137,2.1771939478218014,1.610442893092802,2.294561706249365,2.9727957292540723,1.6757525790125931,2.4301132316666707,3.105494220378363,1.9904318322405397,3.4656985,2.445519,3.2781467,2.362337468958018,3.039144974816218,1.8330922056265664,2.294561706249365,2.9727957292540723,1.6757525790125931,2.4732742040097495,2.751827965818079,1.7588757681153115,2.747982438938956,2.222187234941445,1.2211482674542935,3.2472496,2.0133407,2.5092545
3.3146487802236084,4.481273839649317,4.317243217855568,0.7950696028040134,2.1275208645192345,3.141074315176306,0.8561314580047796,2.3892207975183113,3.512253802831419,1.7069608,1.8042873,2.2108965,0.8256005304043965,2.258370831018773,3.3266640590038623,0.7950696028040134,2.1275208645192345,3.141074315176306,1.6552832803441335,2.999338500562288,3.65685711195443,1.3407568455659835,2.767162982982581,2.2753904558192053,2.8048987,1.4357816,3.3272698
3.3952488496016247,2.7336385630891704,3.999204054367911,3.781048428808114,1.2713452988920824,2.1394700082491767,3.858172981732912,1.4367618247517169,2.778697129475197,3.870342,2.3842425,3.0985801,3.819610705270513,1.3540535618218996,2.459083568862187,3.781048428808114,1.2713452988920824,2.1394700082491767,3.678156753380884,1.81391522891099,2.9724570640307615,3.6313095391347847,1.4529508255490926,2.785210736862567,3.9071734,2.765124,3.2766454
-0.0391800742326307,1.768497573251254,1.1214213055398947,1.122375041643249,3.8083304765216224,1.1940277397177828,1.1814512298569828,3.9989932839587783,1.7135550012520462,2.031902,1.7381053,2.3789628,1.151913135750116,3.9036618802402,1.4537913704849146,1.122375041643249,3.8083304765216224,1.1940277397177828,0.7548820657558671,3.1919404445772184,1.3430013488365746,1.3274588435793768,3.592104783028528,1.5557761907169103,1.9930135,2.873426,2.4418232
-0.2490651349065742,-1.265622071217864,0.7765435118270976,0.2639475005039249,1.2812790854696676,3.707198992311675,0.4956443428001751,1.456457282223272,4.198074900512288,1.3153389,2.1818635,2.2816043,0.37979592165205,1.3688681838464698,3.9526369464119817,0.2639475005039249,1.2812790854696676,3.707198992311675,0.1701755694658419,0.4907047654916918,2.8939391348836865,0.8366701991004338,1.4405317820334864,3.5569369317538966,2.081,2.377836,1.8205574
0.9063497400102428,0.5197645902233541,-0.0187094852833138,-0.699236680422118,0.2017011271638634,1.1842224124133205,-0.4289436337004093,0.628516261198031,1.7309689804921429,0.709991,1.1973546,2.4306722,-0.5640901570612636,0.4151086941809472,1.4575956964527317,-0.699236680422118,0.2017011271638634,1.1842224124133205,-0.0739435247040948,0.4499939928617495,0.9654939692073832,0.2603189602425751,0.98218281059492,1.5441582787672978,0.050771207,1.0649611,2.512683
-0.5903979398806705,0.3064869935715428,0.1247211179635883,-0.1961292982047236,-0.7553459585197246,0.0907415983682115,0.1282374553005802,-0.2575802803018195,0.8106160962277013,1.1710347,-0.46509516,1.0728173,-0.0339459214520717,-0.506463119410772,0.4506788472979564,-0.1961292982047236,-0.7553459585197246,0.0907415983682115,-0.2194299275949379,-0.2354797484166671,0.342026270853167,0.5513498371308481,0.4439266783685816,1.1153766269696337,1.4558448,0.21535817,0.9667202
2.5500964778121578,0.6194391931135508,1.454630729238064,0.6568300176968948,-0.3211589778465572,-0.6712859954402992,0.9260112523574058,0.2773752038201851,0.0658529218292674,1.1772577,0.47761852,2.3286974,0.7914206350271502,-0.021891887013186,-0.3027165368055159,0.6568300176968948,-0.3211589778465572,-0.6712859954402992,1.377645915955486,0.1918851396957262,0.2830658852090107,1.3156280122549384,0.7157212778956846,0.6118424906501743,1.4424669,1.683006,1.8487034
6.309850072759106,3.8125162934532857,1.8996816853017953,4.322224514757466,0.5207695717079005,0.0423149172356841,4.622860062742167,1.0440405576407787,0.8140853217778597,4.6251245,2.1777856,1.8419696,4.472542288749817,0.7824050646743397,0.4282001195067719,4.322224514757466,0.5207695717079005,0.0423149172356841,5.084978216752913,1.7924421409339883,0.9186939747717796,5.030202390699352,1.4294829335529422,0.8661040786475109,4.8054266,2.4632719,2.136898
6.806890783716311,6.566266843888524,4.03848982967024,6.351587732307165,3.791656289601067,0.7546778610248022,6.530651038053929,4.361837161370113,1.520163824213761,5.703753,1.8549173,2.891925,6.441119385180547,4.07674672548559,1.1374208426192816,6.351587732307165,3.791656289601067,0.7546778610248022,6.563043184692468,4.906586764953235,2.1044438383029345,6.346324936365364,4.898534968160679,1.533822172880378,5.7334037,2.0076382,2.7766635
