number,mae,duration,params_alpha,params_colsample_bytree,params_lambda,params_learning_rate,params_max_depth,params_num_boosted_rounds,params_subsample
764,0.5746479978164037,0.1031,0.08328534747543483,0.7634831523030253,0.5373818588382775,0.29994981997210335,11,96,0.7525320354714834
328,0.5748253166675568,0.08339,0.24764976226485655,0.8553365063622824,0.5605249627945499,0.289038601908509,13,98,0.7423789438306938
436,0.5749281297127405,0.085634,0.26682920401539234,0.7984817649342325,0.26379667128568307,0.2821216960747275,13,83,0.7638953829219958
492,0.5750285883744558,0.092112,0.2618860756686415,0.873783162784865,0.21441002652730892,0.2597048201520714,13,94,0.7232577824982176
32,0.5751737852891287,0.066449,0.2353424474759331,0.7286176647605077,0.2403048652347181,0.20083995867581483,9,93,0.6780595487127302
67,0.5754795918862025,0.054861,0.19130274701134753,0.7259003887039598,0.28556553748825964,0.24260110872697055,4,87,0.7035024137864767
523,0.575733537475268,0.092151,0.26298162955272997,0.7302635893348435,0.5029241918407262,0.2571817090755485,7,96,0.7281695598247572
686,0.5759765108426412,0.08447,0.020696404292698464,0.8469568131426828,0.6851207261146354,0.23747721471854596,3,96,0.7313937315494903
129,0.5760753105084101,0.061553,0.42330521798113263,0.8779462753734735,0.049773581734419814,0.2934471208536424,5,20,0.6822976179979654
512,0.5767088731129965,0.079842,0.23160181815642109,0.7427407824066339,0.1821306123441683,0.24113288614480582,4,99,0.7335471728353463
790,0.5767376273870468,0.09831,0.46662415959741643,0.9032451683845035,0.6026639519866177,0.24535811852991304,13,97,0.756115669055171
188,0.5768202195564905,0.059496,0.03593426475917433,0.8085983010674139,0.47180086227737983,0.2914632233704459,4,93,0.5245942977422857
313,0.5768500367800394,0.082051,0.24835845309480264,0.7452269809807495,0.5092624794341795,0.29975104146752535,13,13,0.7187929654897717
719,0.5770429223775864,0.104139,0.08200623731373718,0.8540017089750799,0.7556730787668848,0.2941770391105297,13,92,0.7419025589050326
561,0.5773893098036448,0.093032,0.26671104311507443,0.7637003111738047,0.6177418945792322,0.2768698566338539,8,100,0.7427214799101033
16,0.577756275733312,0.055414,0.23379241494172712,0.9273899483574253,0.6260122345218532,0.26193972391828846,18,46,0.6386147814168097
395,0.5779499113559723,0.074873,0.2384124508640787,0.8350812625001618,0.5853372133692356,0.2805286426854592,12,96,0.7420303129195995
131,0.5780391792456309,0.060743,0.11976171533460614,0.7079625255926718,0.3652415475778644,0.2883379670326886,7,37,0.7295791032418972
692,0.5784447987874349,0.099167,0.3842295387029524,0.8570482668420814,0.5229449350166593,0.28584017649383386,14,98,0.6924475409019125
630,0.5789491633574168,0.090502,0.2502878362538911,0.7953716066747892,0.45646653085899924,0.2585316968904405,13,97,0.7461150926437169
402,0.5790490359067917,0.076494,0.2533711292779839,0.8085683113209583,0.2302045914758998,0.23522011789681993,12,51,0.728053718165226
405,0.5790795733531316,0.075903,0.27419783457715835,0.7658122278233648,0.5600747024320112,0.2779703837623927,8,98,0.687345464723557
530,0.579112688700358,0.081782,0.22536313928175628,0.8600163640227471,0.5430147662001783,0.2931875058134367,6,96,0.5218444604200718
802,0.5792883485555649,0.116145,0.010524636426254952,0.8102424806867148,0.5406201824003046,0.2667979916602358,6,95,0.742423876040976
170,0.5793582002321879,0.067668,0.19560056994096248,0.8558802974728171,0.9601676514025382,0.28805855542275616,20,29,0.7431163838296118
399,0.5796749194463094,0.088704,0.07396615672391342,0.7421958312201519,0.5461054560721502,0.29489042653678865,7,95,0.7497885905467501
48,0.5797713448603948,0.07586,0.40995177083046674,0.9055320903129357,0.443122801354484,0.2846445218871345,10,30,0.6952327465456178
641,0.5799840837717056,0.108962,0.2969296774772226,0.7542344279492641,0.562562491359715,0.28013860074998376,12,21,0.7212100133853698
792,0.580499658981959,0.10119,0.2931732142188266,0.5874150200516541,0.1531623012488443,0.26113541391085754,12,48,0.721373347404375
168,0.5805734992027283,0.069151,0.21979275531193812,0.8778625992090461,0.206390493483974,0.2776669187498945,9,17,0.7534855177871095
822,0.5805918176968893,0.11096,0.22285761085784955,0.7894672616635736,0.25695650273989806,0.2684378165495287,9,31,0.7316848258840407
774,0.5806014984846115,0.102387,0.33164945164869897,0.7685679641575016,0.45050997439869434,0.14980064687560085,13,94,0.707393461749116
384,0.5806870460510254,0.081352,0.29102771895392515,0.7936863170390279,0.5792294356724409,0.2953005499987126,8,93,0.7547872920135598
430,0.5808245440324148,0.078594,0.023853384006284253,0.8490588015980558,0.24289430920856747,0.28802066586224945,5,98,0.7129010434942464
469,0.5820229997237524,0.088717,0.23862048729242596,0.8172417536266358,0.5837420164942597,0.23670374096909988,13,45,0.7084813524873617
741,0.5820878644784292,0.116432,0.253361045730401,0.7713301015805022,0.5949348493148368,0.29224482843725785,12,28,0.6447734645304009
600,0.5824063718318939,0.094844,0.11707681067688425,0.8305003261630531,0.6215543146979073,0.27228104099024214,12,94,0.7479839580068924
672,0.5825019131104151,0.099915,0.0171253193194855,0.546298279804869,0.1074563479518204,0.13366978128799412,13,92,0.730682202460934
225,0.5825311740239462,0.068523,0.2589483938376437,0.7532553574935392,0.551774341374885,0.25248166865598354,13,95,0.7226381946586626
615,0.5833123872677485,0.089844,0.2964063004765223,0.8104360937017209,0.5622887441980174,0.23422697340428894,13,98,0.7230682635189134
977,0.5833969016869863,0.109372,0.22003602324882163,0.8034602719363861,0.19968440669659207,0.2762992751158698,9,58,0.7685540958605622
58,0.583674559990565,0.057843,0.49117312675605795,0.8692719771532655,0.8314391892055891,0.23341324858784426,5,94,0.679149488444484
128,0.5841704110304514,0.063276,0.04249470316911515,0.9174951974977598,0.48428499591330293,0.28505566561162277,6,10,0.7948208343787572
458,0.584651380777359,0.079097,0.2600445076428,0.851496182914874,0.5443447449973933,0.2905761030400108,6,98,0.757446758630805
397,0.5857076595226923,0.078984,0.2582573951518498,0.7611637947833337,0.29700754296343157,0.29979138956572143,14,98,0.7656427679366429
286,0.5859687676032385,0.062231,0.2638105333927517,0.749357670130241,0.47622984511494887,0.2851096887597773,4,100,0.7404277347595961
649,0.586713582277298,0.100112,0.25924989664019765,0.7619214905099755,0.48057775165752925,0.19086078418115301,12,96,0.7620349602964726
711,0.5867251058419546,0.105982,0.11148881955141471,0.8189266857235703,0.7975227926261963,0.2907104338597795,12,95,0.7502012459076789
